Time,Amplitude
0,0
0.01,2.93893
0.02,4.75528
0.03,4.75528
0.04,2.93893
0.05,9.36268e-007
0.06,-2.93893
0.07,-4.75528
0.08,-4.75528
0.09,-2.93893
0.1,-1.87254e-006
0.11,2.93893
0.12,4.75528
0.13,4.75528
0.14,2.93893
0.15,2.8088e-006
0.16,-2.93893
0.17,-4.75528
0.18,-4.75528
0.19,-2.93893
0.2,-3.74507e-006
0.21,2.93892
0.22,4.75528
0.23,4.75528
0.24,2.93893
0.25,3.06152e-015
0.26,-2.93892
0.27,-4.75528
0.28,-4.75528
0.29,-2.93893
0.3,-5.61761e-006
0.31,2.93893
0.32,4.75528
0.33,4.75528
0.34,2.93893
0.35,1.87254e-006
0.36,-2.93892
0.37,-4.75528
0.38,-4.75528
0.39,-2.93893
0.4,-7.49014e-006
0.41,2.93893
0.42,4.75528
0.43,4.75528
0.44,2.93893
0.45,3.74507e-006
0.46,-2.93892
0.47,-4.75528
0.48,-4.75528
0.49,-2.93893
0.5,-6.12303e-015
0.51,2.93892
0.52,4.75528
0.53,4.75529
0.54,2.93894
0.55,-3.74507e-006
0.56,-2.93893
0.57,-4.75528
0.58,-4.75528
0.59,-2.93893
0.6,-1.12352e-005
0.61,2.93893
0.62,4.75528
0.63,4.75528
0.64,2.93893
0.65,7.49014e-006
0.66,-2.93892
0.67,-4.75528
0.68,-4.75528
0.69,-2.93893
0.7,-3.74507e-006
0.71,2.93892
0.72,4.75528
0.73,4.75529
0.74,2.93892
0.75,2.69481e-014
0.76,-2.93892
0.77,-4.75528
0.78,-4.75529
0.79,-2.93894
0.8,-1.49803e-005
0.81,2.93893
0.82,4.75528
0.83,4.75528
0.84,2.93893
0.85,1.12352e-005
0.86,-2.93891
0.87,-4.75528
0.88,-4.75528
0.89,-2.93893
0.9,-7.49014e-006
0.91,2.93892
0.92,4.75528
0.93,4.75528
0.94,2.93893
0.95,3.74507e-006
0.96,-2.93892
0.97,-4.75528
0.98,-4.75529
0.99,-2.93894
